Froude Number (v^2/gL),Relative Stride Length (S/L)
0.26606,1.0747
0.34862,1.03694
0.41835,1.04324
0.29541,1.11923
0.31376,1.16363
0.28073,1.17431
0.26789,1.24047
0.29541,1.28497
0.27706,1.29582
0.34679,1.49548
0.34679,1.36289
0.36881,1.17529
0.3945,1.12032
0.40917,1.15363
0.43303,1.16495
0.44771,1.13748
0.36514,1.25812
0.38716,1.25284
0.40917,1.24203
0.38349,1.34119
0.40183,1.3414
0.39633,1.40763
0.41284,1.29732
0.43119,1.28647
0.44954,1.35297
0.48624,1.43073
0.52294,1.26539
0.54495,1.33193
0.57431,1.31015
0.5633,1.47578
0.5633,1.64152
0.52661,1.66322
0.6,1.48723
0.65688,1.44919
0.64771,1.28886
0.55229,2.30438
0.56147,2.04482
0.62569,1.84111
0.69541,1.60431
0.74128,1.48327
0.78165,1.40637
0.79817,1.52257
0.8055,1.67735
0.78532,1.90917
0.79817,2.07506
0.73211,2.16272
0.82752,2.14168
0.83486,1.87657
0.86789,1.70014
0.88624,1.77216
0.87523,1.92121
0.88073,2.0373
0.91193,2.09841
0.90826,2.30832
0.95963,2.61828
0.93028,2.9384
1.04037,2.66337
1.04771,2.4977
1.02202,2.25433
1.02936,2.07761
0.98532,1.97768
0.93394,1.72849
0.97064,1.49133
1.06055,1.69674
1.08257,1.73013
1.17615,1.84719
1.09541,1.97337
1.15413,2.20054
1.22752,2.09085
1.1633,2.34981
1.13394,2.49313
1.08807,2.63627
1.19083,2.54348
1.25321,2.46683
1.29725,2.46731
1.34128,2.4899
1.35963,2.25806
1.39633,2.41316
1.4367,2.502
1.34312,2.75511
1.25688,2.77626
1.30092,2.89829
1.35596,3.0536
1.4055,3.13702
1.46239,3.25367
1.38716,3.40201
1.5578,2.76853
1.44037,2.73409
1.6367,2.93515
1.66789,2.72555
1.72844,3.05771
1.74128,3.34515
1.79266,3.41201
1.6422,3.59267
1.82936,3.43452
1.9945,3.26507
1.96147,2.90559
1.98716,3.95007
1.99083,4.21531
1.84771,4.2524
2.0055,4.50276
2.48991,4.83408
2.40734,4.6177
2.31376,4.76584
2.27706,4.36764
2.1945,5.09049
2.28624,5.11912
2.5211,4.33166
2.66972,5.04049
3.00734,4.54146
2.73211,5.91411
2.88257,5.82185
2.98349,5.99423
3.37064,6.24713
3.53394,6.47545
